        Car#	        Laps	 Gap 1st/prv	    Last lap	    Best lap	  Last event	   Team name	  DongleData	     Tainted	         Pit

START	12:58:39
           9	          26	       1 / 1	 00:00:08.83	 00:00:08.80	 00:04:09.97	Hyper Monkeys	8009036D001B00FF10
           1	          26	       1 / 1	 00:00:08.96	 00:00:08.65	 00:04:10.17	Sports Carazing	8001037A001B00FF12
           4	          26	       1 / 1	 00:00:09.11	 00:00:08.81	 00:04:12.59	El Kapito Dents	80040389001B00FF8C
           8	          27	       0 / 0	 00:00:09.16	 00:00:08.68	 00:04:13.53	      Exiles	8008038E001C00FF10
          15	          27	       1 / 1	 00:00:09.02	 00:00:08.80	 00:04:14.22	   Garage 27	800F0380001C00FF8A
          10	          27	       1 / 1	 00:00:09.38	 00:00:09.11	 00:04:15.97	      Wolves	800A03A3001C00FF12
           6	          26	       2 / 1	 00:00:09.60	 00:00:08.48	 00:04:17.40	Eurolink Racing	800603B9001B00FF10
           9	          27	       1 / 1	 00:00:09.02	 00:00:08.80	 00:04:18.95	Hyper Monkeys	80090380001C00FF8C
           1	          27	       1 / 1	 00:00:08.83	 00:00:08.65	 00:04:19.15	Sports Carazing	8001036D001C00FF8C
          11	          27	       1 / 1	 00:00:13.43	 00:00:08.78	 00:04:21.06	        DSCA	800B0535001C00FF8C
           4	          27	       1 / 1	 00:00:09.19	 00:00:08.81	 00:04:21.87	El Kapito Dents	80040391001C00FF8C
           8	          28	       0 / 0	 00:00:08.98	 00:00:08.68	 00:04:22.51	      Exiles	8008037C001D00FF8C
          15	          28	       1 / 1	 00:00:08.86	 00:00:08.80	 00:04:23.20	   Garage 27	800F0370001D00FF10
          10	          28	       1 / 1	 00:00:09.23	 00:00:09.11	 00:04:25.24	      Wolves	800A0395001D00FF8C
           9	          28	       1 / 1	 00:00:09.04	 00:00:08.80	 00:04:27.93	Hyper Monkeys	80090382001D00FF8C
           1	          28	       1 / 1	 00:00:09.05	 00:00:08.65	 00:04:28.12	Sports Carazing	80010383001D00FF8C
           6	          27	       2 / 1	 00:00:12.85	 00:00:08.48	 00:04:30.27	Eurolink Racing	800604FC001C00B48C
          11	          28	       1 / 1	 00:00:09.44	 00:00:08.78	 00:04:30.34	        DSCA	800B03A9001D00FF10
           4	          28	       1 / 1	 00:00:08.99	 00:00:08.81	 00:04:30.85	El Kapito Dents	8004037D001D00FF10
           8	          29	       0 / 0	 00:00:09.02	 00:00:08.68	 00:04:31.49	      Exiles	80080380001E00FF10
          15	          29	       1 / 1	 00:00:08.99	 00:00:08.80	 00:04:32.17	   Garage 27	800F037D001E00FF10
